ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
26/02/2026,Adult,Maxillo-Facial,"1,102",328,342,247,"2,019"
26/02/2026,Adult,Nephrology,100,2,0,2,103
26/02/2026,Adult,Neurology,207,92,36,30,365
26/02/2026,Adult,Neurosurgery,307,386,269,233,"1,196"
26/02/2026,Adult,Oncology,79,0,0,0,79
26/02/2026,Adult,Ophthalmology,"7,896","2,964","1,102","1,081","13,042"
26/02/2026,Adult,Orthopaedics,"9,507","3,012","1,204",903,"14,626"
26/02/2026,Adult,Otolaryngology (ENT),"2,924","1,489",865,"1,259","6,538"
26/02/2026,Adult,Pain Relief,"4,086","2,399","1,018",389,"7,891"
26/02/2026,Adult,Plastic Surgery,"4,649","1,802",764,992,"8,207"
26/02/2026,Adult,Radiology,113,4,0,0,117
26/02/2026,Adult,Respiratory Medicine,"1,078",181,104,6,"1,369"
26/02/2026,Adult,Rheumatology,55,5,0,0,60
26/02/2026,Adult,Small Volume Specialties,548,73,25,9,656
26/02/2026,Adult,Urology,"7,602","2,372",685,627,"11,287"
26/02/2026,Adult,Vascular Surgery,"1,584",596,389,259,"2,828"
26/02/2026,Child,Cardio-Thoracic Surgery,43,2,0,0,45
26/02/2026,Child,Clinical Immunology,142,80,20,21,263
26/02/2026,Child,Dental Surgery,185,65,4,9,263
26/02/2026,Child,General Surgery,95,22,23,4,145
26/02/2026,Child,Immunology,61,22,12,0,95
26/02/2026,Child,Maxillo-Facial,111,19,28,17,175
26/02/2026,Child,Ophthalmology,383,270,172,143,967
26/02/2026,Child,Orthopaedics,56,8,2,2,67
26/02/2026,Child,Otolaryngology (ENT),727,238,66,110,"1,142"
26/02/2026,Child,Paed Cardiology,146,51,0,0,197
26/02/2026,Child,Paed Endocrinology,27,0,0,0,27
26/02/2026,Child,Paed Orthopaedic,297,109,34,67,507
26/02/2026,Child,Paediatric ENT,460,92,43,2,597
26/02/2026,Child,Paediatric Radiology,14,7,4,2,27
26/02/2026,Child,Paediatric Respiratory Medicine,743,577,349,108,"1,777"
26/02/2026,Child,Paediatric Surgery,431,73,22,10,535
26/02/2026,Child,Paediatric Urology,187,82,50,36,355
26/02/2026,Child,Paediatrics,82,35,2,0,119
26/02/2026,Child,Plastic Surgery,304,103,25,35,467
26/02/2026,Child,Small Volume Specialties,377,73,32,11,494
26/02/2026,Child,Urology,257,118,73,16,464
26/03/2026,Adult,Anaesthetics,196,30,0,0,226
26/03/2026,Adult,Breast Surgery,158,38,23,28,247
26/03/2026,Adult,Cardio-Thoracic Surgery,409,202,68,30,708
26/03/2026,Adult,Cardiology,"3,836","1,039",435,104,"5,414"
26/03/2026,Adult,Clinical Immunology,737,519,159,25,"1,440"
26/03/2026,Adult,Dermatology,958,125,58,176,"1,316"
26/03/2026,Adult,Gastro-Enterology,641,131,25,3,799
26/03/2026,Adult,Gastro-Intestinal Surgery,431,209,122,320,"1,082"
26/03/2026,Adult,General Medicine,104,29,2,2,136
26/03/2026,Adult,General Surgery,"11,206","3,625","1,337","1,639","17,808"
26/03/2026,Adult,Geriatric Medicine,23,0,0,0,23
26/03/2026,Adult,Gynaecology,"4,512","1,238",378,307,"6,435"
26/03/2026,Adult,Haematology,50,6,0,0,56
26/03/2026,Adult,Hepato-Biliary Surgery,35,8,2,2,46
26/03/2026,Adult,Maxillo-Facial,"1,085",322,333,257,"1,997"
26/03/2026,Adult,Nephrology,114,2,0,2,117
26/03/2026,Adult,Neurology,129,187,35,41,393
26/03/2026,Adult,Neurosurgery,282,363,265,321,"1,231"
26/03/2026,Adult,Oncology,94,0,0,0,94
26/03/2026,Adult,Ophthalmology,"7,712","3,100","1,116","1,122","13,051"
26/03/2026,Adult,Orthopaedics,"9,560","3,064","1,176",961,"14,761"
26/03/2026,Adult,Otolaryngology (ENT),"2,717","1,485",849,"1,298","6,349"
26/03/2026,Adult,Pain Relief,"4,363","2,241","1,029",344,"7,976"
26/03/2026,Adult,Plastic Surgery,"4,512","1,868",758,"1,031","8,169"
26/03/2026,Adult,Radiology,169,3,0,0,172
26/03/2026,Adult,Respiratory Medicine,"1,032",271,101,12,"1,417"
26/03/2026,Adult,Rheumatology,27,2,0,0,29
26/03/2026,Adult,Small Volume Specialties,501,68,19,21,610
26/03/2026,Adult,Urology,"7,664","2,461",726,605,"11,456"
26/03/2026,Adult,Vascular Surgery,"1,624",572,426,254,"2,876"
26/03/2026,Child,Cardio-Thoracic Surgery,47,2,0,0,49
26/03/2026,Child,Clinical Immunology,137,82,18,15,252
26/03/2026,Child,Dental Surgery,165,80,10,13,268
26/03/2026,Child,General Surgery,44,25,21,8,99
26/03/2026,Child,Immunology,49,22,7,0,78
26/03/2026,Child,Maxillo-Facial,111,25,18,22,176
26/03/2026,Child,Ophthalmology,382,275,174,142,973
26/03/2026,Child,Orthopaedics,61,14,2,2,79
26/03/2026,Child,Otolaryngology (ENT),725,240,57,114,"1,136"
26/03/2026,Child,Paed Cardiology,156,49,0,0,205
26/03/2026,Child,Paed Orthopaedic,276,110,34,65,485
26/03/2026,Child,Paediatric ENT,439,102,34,6,581
26/03/2026,Child,Paediatric Respiratory Medicine,743,604,361,131,"1,839"
26/03/2026,Child,Paediatric Surgery,472,82,22,9,586
26/03/2026,Child,Paediatric Urology,196,87,46,36,365
26/03/2026,Child,Paediatrics,90,40,0,0,130
26/03/2026,Child,Plastic Surgery,336,98,32,32,498
26/03/2026,Child,Small Volume Specialties,366,74,40,15,496
26/03/2026,Child,Urology,265,135,71,18,488
